suffrage_id,voter_id,fecha_eleccion,voto_registrado,mesa_voto,puesto_voto,zona_voto,municipio_voto,circunscripcion_voto,hora_checkin,metodo_checkin,operador_checkin
SUF-0000013,V003951,2026-06-03,1,MESA-080,PUESTO-005,ZONA-05,MUN-05,CIRC-05,10:30:37,electronico,USR-0025
SUF-0000014,V000586,2026-06-03,1,MESA-049,PUESTO-024,ZONA-04,MUN-04,CIRC-04,08:11:13,manual,USR-0013
SUF-0000015,V004772,2026-06-03,1,MESA-074,PUESTO-024,ZONA-04,MUN-04,CIRC-04,08:34:17,electronico,USR-0012
SUF-0000016,V000023,2026-06-03,1,MESA-050,PUESTO-025,ZONA-05,MUN-05,CIRC-05,12:45:21,electronico,USR-0006
SUF-0000017,V000103,2026-06-03,1,MESA-079,PUESTO-004,ZONA-04,MUN-04,CIRC-04,09:42:27,electronico,USR-0008
SUF-0000018,V000711,2026-06-03,1,MESA-001,PUESTO-001,ZONA-01,MUN-01,CIRC-01,15:11:34,manual,USR-0022
SUF-0000019,V001802,2026-06-03,1,MESA-070,PUESTO-020,ZONA-10,MUN-05,CIRC-05,15:49:21,manual,USR-0022
SUF-0000020,V002954,2026-06-03,1,MESA-022,PUESTO-022,ZONA-02,MUN-02,CIRC-02,13:08:51,electronico,USR-0006
SUF-0000021,V002863,2026-06-03,1,MESA-009,PUESTO-009,ZONA-09,MUN-04,CIRC-04,09:52:13,electronico,USR-0011
SUF-0000022,V001913,2026-06-03,1,MESA-037,PUESTO-012,ZONA-02,MUN-02,CIRC-02,13:01:24,electronico,USR-0003
SUF-0000023,V004364,2026-06-03,1,MESA-024,PUESTO-024,ZONA-04,MUN-04,CIRC-04,14:59:35,manual,USR-0012
SUF-0000024,V003549,2026-06-03,1,MESA-056,PUESTO-006,ZONA-06,MUN-01,CIRC-01,15:29:58,electronico,USR-0006
SUF-0000025,V004283,2026-06-03,1,MESA-007,PUESTO-007,ZONA-07,MUN-02,CIRC-02,08:33:11,electronico,USR-0019
SUF-0000026,V004357,2026-06-03,1,MESA-019,PUESTO-019,ZONA-09,MUN-04,CIRC-04,14:10:22,manual,USR-0009
SUF-0000027,V004653,2026-06-03,1,MESA-028,PUESTO-003,ZONA-03,MUN-03,CIRC-03,08:27:26,electronico,USR-0024
SUF-0000028,V001206,2026-06-03,1,MESA-079,PUESTO-004,ZONA-04,MUN-04,CIRC-04,13:45:03,electronico,USR-0017
SUF-0000029,V000718,2026-06-03,1,MESA-019,PUESTO-019,ZONA-09,MUN-04,CIRC-01,08:14:02,manual,USR-0007
SUF-0000030,V000523,2026-06-03,1,MESA-063,PUESTO-013,ZONA-03,MUN-03,CIRC-03,14:45:42,electronico,USR-0004
SUF-0000031,V004306,2026-06-03,1,MESA-052,PUESTO-002,ZONA-02,MUN-02,CIRC-03,12:56:51,electronico,USR-0006
SUF-0000032,V002527,2026-06-03,1,MESA-071,PUESTO-021,ZONA-01,MUN-01,CIRC-01,11:42:20,manual,USR-0013
SUF-0000033,V001524,2026-06-03,1,MESA-065,PUESTO-015,ZONA-05,MUN-05,CIRC-05,15:33:04,electronico,USR-0025
SUF-0000034,V004639,2026-06-03,1,MESA-043,PUESTO-018,ZONA-08,MUN-03,CIRC-03,09:33:29,electronico,USR-0010
SUF-0000035,V003276,2026-06-03,1,MESA-014,PUESTO-014,ZONA-04,MUN-04,CIRC-04,11:16:52,electronico,USR-0013
SUF-0000036,V000067,2026-06-03,1,MESA-054,PUESTO-004,ZONA-04,MUN-04,CIRC-04,08:37:50,manual,USR-0014
SUF-0000037,V004315,2026-06-03,1,MESA-015,PUESTO-015,ZONA-05,MUN-05,CIRC-05,12:43:05,electronico,USR-0003
SUF-0000038,V001294,2026-06-03,1,MESA-011,PUESTO-011,ZONA-01,MUN-01,CIRC-01,08:51:17,electronico,USR-0013
SUF-0000039,V003825,2026-06-03,1,MESA-069,PUESTO-019,ZONA-09,MUN-04,CIRC-04,15:04:10,electronico,USR-0023
SUF-0000040,V003271,2026-06-03,1,MESA-012,PUESTO-012,ZONA-02,MUN-02,CIRC-01,09:28:19,manual,USR-0015
SUF-0000041,V002418,2026-06-03,1,MESA-060,PUESTO-010,ZONA-10,MUN-05,CIRC-05,08:12:13,electronico,USR-0012
SUF-0000042,V002828,2026-06-03,1,MESA-020,PUESTO-020,ZONA-10,MUN-05,CIRC-05,09:17:42,electronico,USR-0021
SUF-0000043,V001392,2026-06-03,1,MESA-063,PUESTO-013,ZONA-03,MUN-03,CIRC-03,08:04:21,electronico,USR-0023
SUF-0000044,V001001,2026-06-03,1,MESA-077,PUESTO-002,ZONA-02,MUN-02,CIRC-02,12:13:28,electronico,USR-0004
SUF-0000045,V004509,2026-06-03,1,MESA-008,PUESTO-008,ZONA-08,MUN-03,CIRC-03,12:08:31,electronico,USR-0022
SUF-0000046,V000332,2026-06-03,1,MESA-077,PUESTO-002,ZONA-02,MUN-02,CIRC-02,12:58:43,manual,USR-0010
SUF-0000047,V003268,2026-06-03,1,MESA-003,PUESTO-003,ZONA-03,MUN-03,CIRC-03,11:25:55,electronico,USR-0011
SUF-0000048,V001877,2026-06-03,1,MESA-029,PUESTO-004,ZONA-04,MUN-04,CIRC-04,08:26:40,electronico,USR-0015
SUF-0000049,V002622,2026-06-03,1,MESA-039,PUESTO-014,ZONA-04,MUN-04,CIRC-04,12:46:24,manual,USR-0014
SUF-0000050,V003765,2026-06-03,1,MESA-067,PUESTO-017,ZONA-07,MUN-02,CIRC-02,11:16:26,manual,USR-0016
SUF-0000051,V000922,2026-06-03,1,MESA-036,PUESTO-011,ZONA-01,MUN-01,CIRC-01,14:17:11,manual,USR-0011
SUF-0000052,V002716,2026-06-03,1,MESA-010,PUESTO-010,ZONA-10,MUN-05,CIRC-05,13:53:18,electronico,USR-0022
SUF-0000053,V004652,2026-06-03,1,MESA-068,PUESTO-018,ZONA-08,MUN-03,CIRC-03,10:12:46,electronico,USR-0010
SUF-0000054,V001795,2026-06-03,1,MESA-041,PUESTO-016,ZONA-06,MUN-01,CIRC-01,13:39:05,manual,USR-0020
SUF-0000055,V002663,2026-06-03,1,MESA-027,PUESTO-002,ZONA-02,MUN-02,CIRC-02,10:14:24,manual,USR-0004
SUF-0000056,V000876,2026-06-03,1,MESA-058,PUESTO-008,ZONA-08,MUN-03,CIRC-03,14:13:12,manual,USR-0015
SUF-0000057,V003196,2026-06-03,1,MESA-075,PUESTO-025,ZONA-05,MUN-05,CIRC-05,08:37:01,manual,USR-0011
SUF-0000058,V001333,2026-06-03,1,MESA-018,PUESTO-018,ZONA-08,MUN-03,CIRC-03,09:58:41,manual,USR-0022
SUF-0000059,V001146,2026-06-03,1,MESA-020,PUESTO-020,ZONA-10,MUN-05,CIRC-05,11:29:55,electronico,USR-0008
SUF-0000060,V002864,2026-06-03,1,MESA-060,PUESTO-010,ZONA-10,MUN-05,CIRC-05,08:09:15,manual,USR-0010
SUF-0000061,V004788,2026-06-03,1,MESA-017,PUESTO-017,ZONA-07,MUN-02,CIRC-02,14:15:32,manual,USR-0022
SUF-0000062,V001406,2026-06-03,1,MESA-009,PUESTO-009,ZONA-09,MUN-04,CIRC-04,09:35:45,electronico,USR-0011
SUF-0000063,V002346,2026-06-03,1,MESA-031,PUESTO-006,ZONA-06,MUN-01,CIRC-01,14:15:15,manual,USR-0025
SUF-0000064,V002300,2026-06-03,1,MESA-034,PUESTO-009,ZONA-09,MUN-04,CIRC-04,13:33:19,manual,USR-0009
SUF-0000065,V004454,2026-06-03,1,MESA-002,PUESTO-002,ZONA-02,MUN-02,CIRC-02,10:12:11,electronico,USR-0024
SUF-0000066,V004099,2026-06-03,1,MESA-051,PUESTO-001,ZONA-01,MUN-01,CIRC-05,11:35:58,electronico,USR-0004
SUF-0000067,V002154,2026-06-03,1,MESA-002,PUESTO-002,ZONA-02,MUN-02,CIRC-02,13:12:34,electronico,USR-0016
SUF-0000068,V002686,2026-06-03,1,MESA-042,PUESTO-017,ZONA-07,MUN-02,CIRC-02,14:19:01,manual,USR-0024
SUF-0000069,V000824,2026-06-03,1,MESA-053,PUESTO-003,ZONA-03,MUN-03,CIRC-03,13:51:32,electronico,USR-0023
SUF-0000070,V001626,2026-06-03,1,MESA-043,PUESTO-018,ZONA-08,MUN-03,CIRC-03,10:35:05,electronico,USR-0006
SUF-0000071,V000698,2026-06-03,1,MESA-035,PUESTO-010,ZONA-10,MUN-05,CIRC-05,15:42:34,electronico,USR-0013
SUF-0000072,V003982,2026-06-03,1,MESA-074,PUESTO-024,ZONA-04,MUN-04,CIRC-05,14:18:02,electronico,USR-0003
SUF-0000073,V001296,2026-06-03,1,MESA-056,PUESTO-006,ZONA-06,MUN-01,CIRC-01,11:13:16,manual,USR-0010
SUF-0000074,V003008,2026-06-03,1,MESA-019,PUESTO-019,ZONA-09,MUN-04,CIRC-04,14:33:47,electronico,USR-0020
SUF-0000075,V001162,2026-06-03,1,MESA-072,PUESTO-022,ZONA-02,MUN-02,CIRC-02,15:44:37,electronico,USR-0024
SUF-0000076,V004280,2026-06-03,1,MESA-018,PUESTO-018,ZONA-08,MUN-03,CIRC-03,10:57:17,electronico,USR-0025
SUF-0000077,V004782,2026-06-03,1,MESA-029,PUESTO-004,ZONA-04,MUN-04,CIRC-04,09:49:04,electronico,USR-0006
SUF-0000078,V003831,2026-06-03,1,MESA-004,PUESTO-004,ZONA-04,MUN-04,CIRC-04,15:14:57,electronico,USR-0015
SUF-0000079,V003608,2026-06-03,1,MESA-031,PUESTO-006,ZONA-06,MUN-01,CIRC-01,09:08:12,electronico,USR-0006
SUF-0000080,V000232,2026-06-03,1,MESA-048,PUESTO-023,ZONA-03,MUN-03,CIRC-03,12:50:12,electronico,USR-0021
SUF-0000081,V000881,2026-06-03,1,MESA-068,PUESTO-018,ZONA-08,MUN-03,CIRC-03,10:46:51,manual,USR-0017
SUF-0000082,V003467,2026-06-03,1,MESA-043,PUESTO-018,ZONA-08,MUN-03,CIRC-03,18:15:00,electronico,USR-0003
SUF-0000083,V002889,2026-06-03,1,MESA-042,PUESTO-017,ZONA-07,MUN-02,CIRC-02,14:26:45,electronico,USR-0019
SUF-0000084,V002777,2026-06-03,1,MESA-003,PUESTO-003,ZONA-03,MUN-03,CIRC-03,13:44:03,manual,USR-0012
SUF-0000085,V001090,2026-06-03,1,MESA-066,PUESTO-016,ZONA-06,MUN-01,CIRC-01,13:52:40,manual,USR-0016
SUF-0000086,V002701,2026-06-03,1,MESA-031,PUESTO-006,ZONA-06,MUN-01,CIRC-01,10:30:04,electronico,USR-0016
SUF-0000087,V004116,2026-06-03,1,MESA-014,PUESTO-014,ZONA-04,MUN-04,CIRC-04,15:39:46,electronico,USR-0010
SUF-0000088,V004215,2026-06-03,1,MESA-060,PUESTO-010,ZONA-10,MUN-05,CIRC-05,12:55:31,electronico,USR-0006
SUF-0000089,V003406,2026-06-03,1,MESA-045,PUESTO-020,ZONA-10,MUN-05,CIRC-05,12:58:41,manual,USR-0013
SUF-0000090,V002586,2026-06-03,1,MESA-071,PUESTO-021,ZONA-01,MUN-01,CIRC-01,08:29:42,manual,USR-0010
SUF-0000091,V002742,2026-06-03,1,MESA-020,PUESTO-020,ZONA-10,MUN-05,CIRC-05,09:37:53,manual,USR-0021
SUF-0000092,V001740,2026-06-03,1,MESA-073,PUESTO-023,ZONA-03,MUN-03,CIRC-03,14:17:36,electronico,USR-0015
SUF-0000093,V003335,2026-06-03,1,MESA-067,PUESTO-017,ZONA-07,MUN-02,CIRC-02,10:59:00,electronico,USR-0020
SUF-0000094,V001301,2026-06-03,1,MESA-031,PUESTO-006,ZONA-06,MUN-01,CIRC-01,14:32:15,manual,USR-0010
SUF-0000095,V004596,2026-06-03,1,MESA-063,PUESTO-013,ZONA-03,MUN-03,CIRC-03,10:15:27,electronico,USR-0017
SUF-0000096,V002471,2026-06-03,1,MESA-056,PUESTO-006,ZONA-06,MUN-01,CIRC-01,15:16:02,electronico,USR-0024
SUF-0000097,V003537,2026-06-03,1,MESA-026,PUESTO-001,ZONA-01,MUN-01,CIRC-01,13:40:04,manual,USR-0012
SUF-0000098,V004399,2026-06-03,1,MESA-030,PUESTO-005,ZONA-05,MUN-05,CIRC-05,11:20:12,manual,USR-0008
SUF-0000099,V004419,2026-06-03,1,MESA-064,PUESTO-014,ZONA-04,MUN-04,CIRC-04,09:16:47,manual,USR-0010
SUF-0000100,V003690,2026-06-03,1,MESA-006,PUESTO-006,ZONA-06,MUN-01,CIRC-01,12:20:32,manual,USR-0013
SUF-0000101,V002353,2026-06-03,1,MESA-056,PUESTO-006,ZONA-06,MUN-01,CIRC-01,13:21:43,electronico,USR-0013
SUF-0000102,V000387,2026-06-03,1,MESA-030,PUESTO-005,ZONA-05,MUN-05,CIRC-05,13:19:32,manual,USR-0014
SUF-0000103,V003562,2026-06-03,1,MESA-029,PUESTO-004,ZONA-04,MUN-04,CIRC-04,15:32:05,electronico,USR-0020
SUF-0000104,V002629,2026-06-03,1,MESA-066,PUESTO-016,ZONA-06,MUN-01,CIRC-01,14:50:35,electronico,USR-0021
SUF-0000105,V003522,2026-06-03,1,MESA-032,PUESTO-007,ZONA-07,MUN-02,CIRC-02,15:19:30,manual,USR-0015
SUF-0000106,V001912,2026-06-03,1,MESA-046,PUESTO-021,ZONA-01,MUN-01,CIRC-01,09:19:29,electronico,USR-0010
SUF-0000107,V001186,2026-06-03,1,MESA-022,PUESTO-022,ZONA-02,MUN-02,CIRC-02,13:16:20,electronico,USR-0010
SUF-0000108,V002812,2026-06-03,1,MESA-006,PUESTO-006,ZONA-06,MUN-01,CIRC-01,12:14:26,manual,USR-0020
SUF-0000109,V000758,2026-06-03,1,MESA-038,PUESTO-013,ZONA-03,MUN-03,CIRC-03,11:46:25,electronico,USR-0005
SUF-0000110,V000955,2026-06-03,1,MESA-023,PUESTO-023,ZONA-03,MUN-03,CIRC-03,11:02:39,electronico,USR-0020
SUF-0000111,V000097,2026-06-03,1,MESA-016,PUESTO-016,ZONA-06,MUN-01,CIRC-01,15:25:12,electronico,USR-0011
SUF-0000112,V002326,2026-06-03,1,MESA-012,PUESTO-012,ZONA-02,MUN-02,CIRC-02,10:13:43,manual,USR-0005
SUF-0000113,V001188,2026-06-03,1,MESA-023,PUESTO-023,ZONA-03,MUN-03,CIRC-03,14:24:58,electronico,USR-0010
SUF-0000114,V001391,2026-06-03,1,MESA-065,PUESTO-015,ZONA-05,MUN-05,CIRC-05,14:37:19,electronico,USR-0025
SUF-0000115,V002566,2026-06-03,1,MESA-008,PUESTO-008,ZONA-08,MUN-03,CIRC-03,10:32:12,manual,USR-0021
SUF-0000116,V000249,2026-06-03,1,MESA-015,PUESTO-015,ZONA-05,MUN-05,CIRC-05,12:33:15,manual,USR-0023
SUF-0000117,V002992,2026-06-03,1,MESA-077,PUESTO-002,ZONA-02,MUN-02,CIRC-02,10:50:59,electronico,USR-0025
SUF-0000118,V002507,2026-06-03,1,MESA-072,PUESTO-022,ZONA-02,MUN-02,CIRC-02,11:55:59,electronico,USR-0015
SUF-0000119,V003846,2026-06-03,1,MESA-073,PUESTO-023,ZONA-03,MUN-03,CIRC-03,12:10:40,manual,USR-0024
SUF-0000120,V004527,2026-06-03,1,MESA-034,PUESTO-009,ZONA-09,MUN-04,CIRC-04,09:50:55,manual,USR-0007
SUF-0000121,V004169,2026-06-03,1,MESA-071,PUESTO-021,ZONA-01,MUN-01,CIRC-01,12:59:54,manual,USR-0024
SUF-0000122,V000986,2026-06-03,1,MESA-056,PUESTO-006,ZONA-06,MUN-01,CIRC-01,14:09:12,electronico,USR-0016
SUF-0000123,V000166,2026-06-03,1,MESA-072,PUESTO-022,ZONA-02,MUN-02,CIRC-02,09:12:10,electronico,USR-0021
SUF-0000124,V001879,2026-06-03,1,MESA-078,PUESTO-003,ZONA-03,MUN-03,CIRC-03,12:24:21,electronico,USR-0010
SUF-0000125,V002314,2026-06-03,1,MESA-010,PUESTO-010,ZONA-10,MUN-05,CIRC-05,12:28:05,electronico,USR-0009
SUF-0000126,V002608,2026-06-03,1,MESA-002,PUESTO-002,ZONA-02,MUN-02,CIRC-02,11:31:37,manual,USR-0016
SUF-0000127,V000025,2026-06-03,1,MESA-006,PUESTO-006,ZONA-06,MUN-01,CIRC-01,11:32:29,manual,USR-0005
SUF-0000128,V002690,2026-06-03,1,MESA-036,PUESTO-011,ZONA-01,MUN-01,CIRC-01,09:06:30,electronico,USR-0010
SUF-0000129,V001948,2026-06-03,1,MESA-022,PUESTO-022,ZONA-02,MUN-02,CIRC-02,10:43:11,electronico,USR-0005
SUF-0000130,V001746,2026-06-03,1,MESA-079,PUESTO-004,ZONA-04,MUN-04,CIRC-04,10:02:22,manual,USR-0004
SUF-0000131,V000505,2026-06-03,1,MESA-056,PUESTO-006,ZONA-06,MUN-01,CIRC-01,10:35:20,manual,USR-0014
SUF-0000132,V003509,2026-06-03,1,MESA-070,PUESTO-020,ZONA-10,MUN-05,CIRC-05,12:27:14,electronico,USR-0010
SUF-0000133,V003494,2026-06-03,1,MESA-004,PUESTO-004,ZONA-04,MUN-04,CIRC-04,12:52:40,electronico,USR-0003
SUF-0000134,V003638,2026-06-03,1,MESA-045,PUESTO-020,ZONA-10,MUN-05,CIRC-05,09:03:58,manual,USR-0023
SUF-0000135,V002080,2026-06-03,1,MESA-054,PUESTO-004,ZONA-04,MUN-04,CIRC-04,12:24:16,manual,USR-0019
SUF-0000136,V001689,2026-06-03,1,MESA-013,PUESTO-013,ZONA-03,MUN-03,CIRC-03,08:12:21,manual,USR-0010
SUF-0000137,V003580,2026-06-03,1,MESA-050,PUESTO-025,ZONA-05,MUN-05,CIRC-05,12:17:03,manual,USR-0022
SUF-0000138,V001853,2026-06-03,1,MESA-048,PUESTO-023,ZONA-03,MUN-03,CIRC-03,12:04:56,electronico,USR-0021
SUF-0000139,V004076,2026-06-03,1,MESA-078,PUESTO-003,ZONA-03,MUN-03,CIRC-03,09:01:20,electronico,USR-0006
SUF-0000140,V001839,2026-06-03,1,MESA-067,PUESTO-017,ZONA-07,MUN-02,CIRC-02,13:40:31,electronico,USR-0014
SUF-0000141,V001347,2026-06-03,1,MESA-013,PUESTO-013,ZONA-03,MUN-03,CIRC-03,10:50:20,manual,USR-0014
SUF-0000142,V000999,2026-06-03,1,MESA-017,PUESTO-017,ZONA-07,MUN-02,CIRC-02,10:50:17,electronico,USR-0010
SUF-0000143,V003392,2026-06-03,1,MESA-053,PUESTO-003,ZONA-03,MUN-03,CIRC-03,12:23:32,electronico,USR-0024
SUF-0000144,V002687,2026-06-03,1,MESA-039,PUESTO-014,ZONA-04,MUN-04,CIRC-04,10:50:00,electronico,USR-0008
SUF-0000145,V000836,2026-06-03,1,MESA-076,PUESTO-001,ZONA-01,MUN-01,CIRC-01,13:29:58,electronico,USR-0012
SUF-0000146,V002010,2026-06-03,1,MESA-073,PUESTO-023,ZONA-03,MUN-03,CIRC-03,12:25:07,electronico,USR-0022
SUF-0000147,V000987,2026-06-03,1,MESA-068,PUESTO-018,ZONA-08,MUN-03,CIRC-03,12:14:48,electronico,USR-0012
SUF-0000148,V001140,2026-06-03,1,MESA-028,PUESTO-003,ZONA-03,MUN-03,CIRC-03,13:58:04,manual,USR-0020
SUF-0000149,V001488,2026-06-03,1,MESA-058,PUESTO-008,ZONA-08,MUN-03,CIRC-03,12:42:33,manual,USR-0009
SUF-0000150,V004134,2026-06-03,1,MESA-038,PUESTO-013,ZONA-03,MUN-03,CIRC-03,10:04:28,manual,USR-0015
SUF-0000151,V000980,2026-06-03,1,MESA-030,PUESTO-005,ZONA-05,MUN-05,CIRC-05,08:15:33,manual,USR-0025
SUF-0000152,V004950,2026-06-03,1,MESA-047,PUESTO-022,ZONA-02,MUN-02,CIRC-02,11:37:12,electronico,USR-0005
SUF-0000153,V003834,2026-06-03,1,MESA-033,PUESTO-008,ZONA-08,MUN-03,CIRC-03,11:27:14,electronico,USR-0007
SUF-0000154,V003124,2026-06-03,1,MESA-030,PUESTO-005,ZONA-05,MUN-05,CIRC-05,08:59:35,electronico,USR-0017
SUF-0000155,V001932,2026-06-03,1,MESA-026,PUESTO-001,ZONA-01,MUN-01,CIRC-01,14:07:29,electronico,USR-0007
SUF-0000156,V003075,2026-06-03,1,MESA-009,PUESTO-009,ZONA-09,MUN-04,CIRC-04,12:49:55,manual,USR-0010
SUF-0000157,V003113,2026-06-03,1,MESA-028,PUESTO-003,ZONA-03,MUN-03,CIRC-03,11:36:23,manual,USR-0012
SUF-0000158,V000921,2026-06-03,1,MESA-080,PUESTO-005,ZONA-05,MUN-05,CIRC-05,09:05:53,manual,USR-0011
SUF-0000159,V000886,2026-06-03,1,MESA-044,PUESTO-019,ZONA-09,MUN-04,CIRC-04,11:47:45,electronico,USR-0023
SUF-0000160,V002798,2026-06-03,1,MESA-049,PUESTO-024,ZONA-04,MUN-04,CIRC-04,14:28:07,manual,USR-0004
SUF-0000161,V000596,2026-06-03,1,MESA-047,PUESTO-022,ZONA-02,MUN-02,CIRC-02,12:57:17,manual,USR-0024
SUF-0000162,V001827,2026-06-03,1,MESA-034,PUESTO-009,ZONA-09,MUN-04,CIRC-04,13:19:28,electronico,USR-0014
SUF-0000163,V003905,2026-06-03,1,MESA-064,PUESTO-014,ZONA-04,MUN-04,CIRC-04,11:10:27,manual,USR-0009
SUF-0000164,V003515,2026-06-03,1,MESA-037,PUESTO-012,ZONA-02,MUN-02,CIRC-02,13:08:01,manual,USR-0012
SUF-0000165,V002692,2026-06-03,1,MESA-031,PUESTO-006,ZONA-06,MUN-01,CIRC-01,14:38:01,manual,USR-0014
SUF-0000166,V003350,2026-06-03,1,MESA-058,PUESTO-008,ZONA-08,MUN-03,CIRC-03,09:07:21,manual,USR-0014
SUF-0000167,V003192,2026-06-03,1,MESA-049,PUESTO-024,ZONA-04,MUN-04,CIRC-04,07:13:00,manual,USR-0013
SUF-0000168,V001420,2026-06-03,1,MESA-005,PUESTO-005,ZONA-05,MUN-05,CIRC-05,09:58:09,manual,USR-0025
SUF-0000169,V004879,2026-06-03,1,MESA-070,PUESTO-020,ZONA-10,MUN-05,CIRC-05,11:48:49,manual,USR-0003
SUF-0000170,V002667,2026-06-03,1,MESA-065,PUESTO-015,ZONA-05,MUN-05,CIRC-05,12:46:32,electronico,USR-0019
SUF-0000171,V002104,2026-06-03,1,MESA-028,PUESTO-003,ZONA-03,MUN-03,CIRC-03,10:25:35,electronico,USR-0019
SUF-0000172,V003318,2026-06-03,1,MESA-076,PUESTO-001,ZONA-01,MUN-01,CIRC-01,12:26:04,electronico,USR-0012
SUF-0000173,V002171,2026-06-03,1,MESA-079,PUESTO-004,ZONA-04,MUN-04,CIRC-04,09:44:42,manual,USR-0021
SUF-0000174,V002707,2026-06-03,1,MESA-003,PUESTO-003,ZONA-03,MUN-03,CIRC-03,11:27:39,electronico,USR-0006
SUF-0000175,V002452,2026-06-03,1,MESA-064,PUESTO-014,ZONA-04,MUN-04,CIRC-04,10:02:25,manual,USR-0015
SUF-0000176,V004378,2026-06-03,1,MESA-050,PUESTO-025,ZONA-05,MUN-05,CIRC-01,15:13:35,electronico,USR-0023
SUF-0000177,V002140,2026-06-03,1,MESA-072,PUESTO-022,ZONA-02,MUN-02,CIRC-02,14:56:24,electronico,USR-0023
SUF-0000178,V001561,2026-06-03,1,MESA-032,PUESTO-007,ZONA-07,MUN-02,CIRC-02,13:51:46,electronico,USR-0014
SUF-0000179,V004490,2026-06-03,1,MESA-024,PUESTO-024,ZONA-04,MUN-04,CIRC-04,08:40:53,manual,USR-0022
SUF-0000180,V003524,2026-06-03,1,MESA-071,PUESTO-021,ZONA-01,MUN-01,CIRC-01,11:19:29,electronico,USR-0010
SUF-0000181,V001760,2026-06-03,1,MESA-016,PUESTO-016,ZONA-06,MUN-01,CIRC-01,10:45:47,electronico,USR-0015
SUF-0000182,V004330,2026-06-03,1,MESA-011,PUESTO-011,ZONA-01,MUN-01,CIRC-01,10:28:56,electronico,USR-0021
SUF-0000183,V000880,2026-06-03,1,MESA-061,PUESTO-011,ZONA-01,MUN-01,CIRC-01,14:10:43,manual,USR-0014
SUF-0000184,V003862,2026-06-03,1,MESA-075,PUESTO-025,ZONA-05,MUN-05,CIRC-05,12:55:04,manual,USR-0008
SUF-0000185,V000082,2026-06-03,1,MESA-039,PUESTO-014,ZONA-04,MUN-04,CIRC-04,08:07:52,manual,USR-0015
SUF-0000186,V002034,2026-06-03,1,MESA-050,PUESTO-025,ZONA-05,MUN-05,CIRC-05,12:36:59,electronico,USR-0010
SUF-0000187,V002423,2026-06-03,1,MESA-039,PUESTO-014,ZONA-04,MUN-04,CIRC-04,13:45:12,manual,USR-0010
SUF-0000188,V004982,2026-06-03,1,MESA-062,PUESTO-012,ZONA-02,MUN-02,CIRC-02,09:45:33,electronico,USR-0010
SUF-0000189,V002320,2026-06-03,1,MESA-046,PUESTO-021,ZONA-01,MUN-01,CIRC-01,10:18:50,manual,USR-0004
SUF-0000190,V003740,2026-06-03,1,MESA-058,PUESTO-008,ZONA-08,MUN-03,CIRC-03,12:21:51,electronico,USR-0024
SUF-0000191,V003370,2026-06-03,1,MESA-035,PUESTO-010,ZONA-10,MUN-05,CIRC-05,13:05:36,electronico,USR-0008
SUF-0000192,V002157,2026-06-03,1,MESA-029,PUESTO-004,ZONA-04,MUN-04,CIRC-04,17:57:00,electronico,USR-0003
SUF-0000193,V000948,2026-06-03,1,MESA-035,PUESTO-010,ZONA-10,MUN-05,CIRC-05,08:11:23,electronico,USR-0023
SUF-0000194,V004627,2026-06-03,1,MESA-059,PUESTO-009,ZONA-09,MUN-04,CIRC-04,12:21:18,manual,USR-0010
SUF-0000195,V000547,2026-06-03,1,MESA-029,PUESTO-004,ZONA-04,MUN-04,CIRC-04,15:51:09,electronico,USR-0010
