voter_id,mesa_asignada,puesto_asignado,zona_asignada,municipio_asignado,circunscripcion_autorizada,tipo_boleta_autorizada,puede_votar_en_otro_puesto,justificacion_excepcion
V000134,MESA-078,PUESTO-003,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000135,MESA-051,PUESTO-001,ZONA-01,MUN-01,CIRC-01,especial,0,
V000136,MESA-069,PUESTO-019,ZONA-09,MUN-04,CIRC-04,nacional,0,
V000137,MESA-031,PUESTO-006,ZONA-06,MUN-01,CIRC-01,especial,0,
V000138,MESA-050,PUESTO-025,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000139,MESA-020,PUESTO-020,ZONA-10,MUN-05,CIRC-05,municipal,0,
V000140,MESA-055,PUESTO-005,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000141,MESA-021,PUESTO-021,ZONA-01,MUN-01,CIRC-02,nacional,0,inconsistencia_simulada_mesa
V000142,MESA-025,PUESTO-025,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000143,MESA-013,PUESTO-013,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000144,MESA-070,PUESTO-020,ZONA-10,MUN-05,CIRC-05,municipal,0,
V000145,MESA-067,PUESTO-017,ZONA-07,MUN-02,CIRC-02,nacional,0,
V000146,MESA-058,PUESTO-008,ZONA-08,MUN-03,CIRC-03,municipal,0,
V000147,MESA-075,PUESTO-025,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000148,MESA-064,PUESTO-014,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000149,MESA-069,PUESTO-019,ZONA-09,MUN-04,CIRC-04,nacional,0,
V000150,MESA-059,PUESTO-009,ZONA-09,MUN-04,CIRC-04,nacional,0,
V000151,MESA-060,PUESTO-010,ZONA-10,MUN-05,CIRC-05,municipal,0,
V000152,MESA-062,PUESTO-012,ZONA-02,MUN-02,CIRC-02,nacional,0,
V000153,MESA-016,PUESTO-016,ZONA-06,MUN-01,CIRC-01,especial,0,
V000154,MESA-068,PUESTO-018,ZONA-08,MUN-03,CIRC-03,municipal,0,
V000155,MESA-015,PUESTO-015,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000156,MESA-055,PUESTO-005,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000157,MESA-035,PUESTO-010,ZONA-10,MUN-05,CIRC-05,municipal,0,
V000158,MESA-055,PUESTO-005,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000159,MESA-014,PUESTO-014,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000160,MESA-023,PUESTO-023,ZONA-03,MUN-03,CIRC-04,nacional,0,inconsistencia_simulada_mesa
V000161,MESA-007,PUESTO-007,ZONA-07,MUN-02,CIRC-02,nacional,0,
V000162,MESA-030,PUESTO-005,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000163,MESA-049,PUESTO-024,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000164,MESA-016,PUESTO-016,ZONA-06,MUN-01,CIRC-01,especial,0,
V000165,MESA-051,PUESTO-001,ZONA-01,MUN-01,CIRC-01,especial,0,
V000166,MESA-072,PUESTO-022,ZONA-02,MUN-02,CIRC-02,nacional,0,
V000167,MESA-080,PUESTO-005,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000168,MESA-042,PUESTO-017,ZONA-07,MUN-02,CIRC-02,nacional,0,
V000169,MESA-017,PUESTO-017,ZONA-07,MUN-02,CIRC-02,nacional,0,
V000170,MESA-063,PUESTO-013,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000171,MESA-045,PUESTO-020,ZONA-10,MUN-05,CIRC-05,municipal,0,
V000172,MESA-077,PUESTO-002,ZONA-02,MUN-02,CIRC-02,nacional,0,
V000173,MESA-007,PUESTO-007,ZONA-07,MUN-02,CIRC-02,nacional,0,
V000174,MESA-027,PUESTO-002,ZONA-02,MUN-02,CIRC-02,nacional,0,
V000175,MESA-010,PUESTO-010,ZONA-10,MUN-05,CIRC-05,municipal,0,
V000176,MESA-034,PUESTO-009,ZONA-09,MUN-04,CIRC-04,nacional,0,
V000177,MESA-036,PUESTO-011,ZONA-01,MUN-01,CIRC-01,especial,0,
V000178,MESA-025,PUESTO-025,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000179,MESA-006,PUESTO-006,ZONA-06,MUN-01,CIRC-01,especial,0,
V000180,MESA-024,PUESTO-024,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000181,MESA-018,PUESTO-018,ZONA-08,MUN-03,CIRC-03,municipal,0,
V000182,MESA-006,PUESTO-006,ZONA-06,MUN-01,CIRC-01,especial,0,
V000183,MESA-029,PUESTO-004,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000184,MESA-025,PUESTO-025,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000185,MESA-055,PUESTO-005,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000186,MESA-046,PUESTO-021,ZONA-01,MUN-01,CIRC-01,especial,0,
V000187,MESA-024,PUESTO-024,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000188,MESA-075,PUESTO-025,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000189,MESA-026,PUESTO-001,ZONA-01,MUN-01,CIRC-01,especial,0,
V000190,MESA-028,PUESTO-003,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000191,MESA-003,PUESTO-003,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000192,MESA-075,PUESTO-025,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000193,MESA-038,PUESTO-013,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000194,MESA-061,PUESTO-011,ZONA-01,MUN-01,CIRC-01,especial,0,
V000195,MESA-078,PUESTO-003,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000196,MESA-051,PUESTO-001,ZONA-01,MUN-01,CIRC-01,especial,0,
V000197,MESA-048,PUESTO-023,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000198,MESA-021,PUESTO-021,ZONA-01,MUN-01,CIRC-01,especial,0,
V000199,MESA-054,PUESTO-004,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000200,MESA-056,PUESTO-006,ZONA-06,MUN-01,CIRC-01,especial,0,
V000201,MESA-059,PUESTO-009,ZONA-09,MUN-04,CIRC-04,nacional,0,
V000202,MESA-072,PUESTO-022,ZONA-02,MUN-02,CIRC-02,nacional,0,
V000203,MESA-051,PUESTO-001,ZONA-01,MUN-01,CIRC-01,especial,0,
V000204,MESA-020,PUESTO-020,ZONA-10,MUN-05,CIRC-05,municipal,0,
V000205,MESA-059,PUESTO-009,ZONA-09,MUN-04,CIRC-04,nacional,0,
V000206,MESA-071,PUESTO-021,ZONA-01,MUN-01,CIRC-01,especial,0,
V000207,MESA-009,PUESTO-009,ZONA-09,MUN-04,CIRC-04,nacional,0,
V000208,MESA-001,PUESTO-001,ZONA-01,MUN-01,CIRC-01,especial,0,
V000209,MESA-029,PUESTO-004,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000210,MESA-063,PUESTO-013,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000211,MESA-072,PUESTO-022,ZONA-02,MUN-02,CIRC-02,nacional,0,
V000212,MESA-056,PUESTO-006,ZONA-06,MUN-01,CIRC-01,especial,0,
V000213,MESA-068,PUESTO-018,ZONA-08,MUN-03,CIRC-03,municipal,0,
V000214,MESA-035,PUESTO-010,ZONA-10,MUN-05,CIRC-05,municipal,0,
V000215,MESA-003,PUESTO-003,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000216,MESA-007,PUESTO-007,ZONA-07,MUN-02,CIRC-02,nacional,0,
V000217,MESA-027,PUESTO-002,ZONA-02,MUN-02,CIRC-02,nacional,0,
V000218,MESA-001,PUESTO-001,ZONA-01,MUN-01,CIRC-01,especial,0,
V000219,MESA-080,PUESTO-005,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000220,MESA-071,PUESTO-021,ZONA-01,MUN-01,CIRC-01,especial,0,
V000221,MESA-044,PUESTO-019,ZONA-09,MUN-04,CIRC-04,nacional,0,
V000222,MESA-041,PUESTO-016,ZONA-06,MUN-01,CIRC-01,especial,0,
V000223,MESA-075,PUESTO-025,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000224,MESA-042,PUESTO-017,ZONA-07,MUN-02,CIRC-02,nacional,0,
V000225,MESA-033,PUESTO-008,ZONA-08,MUN-03,CIRC-03,municipal,0,
V000226,MESA-050,PUESTO-025,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000227,MESA-063,PUESTO-013,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000228,MESA-037,PUESTO-012,ZONA-02,MUN-02,CIRC-02,nacional,0,
V000229,MESA-059,PUESTO-009,ZONA-09,MUN-04,CIRC-04,nacional,0,
V000230,MESA-048,PUESTO-023,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000231,MESA-005,PUESTO-005,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000232,MESA-048,PUESTO-023,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000233,MESA-003,PUESTO-003,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000234,MESA-047,PUESTO-022,ZONA-02,MUN-02,CIRC-02,nacional,0,
V000235,MESA-062,PUESTO-012,ZONA-02,MUN-02,CIRC-02,nacional,0,
V000236,MESA-014,PUESTO-014,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000237,MESA-063,PUESTO-013,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000238,MESA-061,PUESTO-011,ZONA-01,MUN-01,CIRC-01,especial,0,
V000239,MESA-031,PUESTO-006,ZONA-06,MUN-01,CIRC-01,especial,0,
V000240,MESA-017,PUESTO-017,ZONA-07,MUN-02,CIRC-02,nacional,0,
V000241,MESA-024,PUESTO-024,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000242,MESA-004,PUESTO-004,ZONA-04,MUN-04,CIRC-03,municipal,0,inconsistencia_simulada_mesa
V000243,MESA-050,PUESTO-025,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000244,MESA-078,PUESTO-003,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000245,MESA-079,PUESTO-004,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000246,MESA-079,PUESTO-004,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000247,MESA-070,PUESTO-020,ZONA-10,MUN-05,CIRC-05,municipal,0,
V000248,MESA-027,PUESTO-002,ZONA-02,MUN-02,CIRC-02,nacional,0,
V000249,MESA-015,PUESTO-015,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000250,MESA-050,PUESTO-025,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000251,MESA-036,PUESTO-011,ZONA-01,MUN-01,CIRC-01,especial,0,
V000252,MESA-008,PUESTO-008,ZONA-08,MUN-03,CIRC-03,municipal,0,
V000253,MESA-079,PUESTO-004,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000254,MESA-003,PUESTO-003,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000255,MESA-062,PUESTO-012,ZONA-02,MUN-02,CIRC-02,nacional,0,
V000256,MESA-047,PUESTO-022,ZONA-02,MUN-02,CIRC-02,nacional,0,
V000257,MESA-077,PUESTO-002,ZONA-02,MUN-02,CIRC-02,nacional,0,
V000258,MESA-061,PUESTO-011,ZONA-01,MUN-01,CIRC-01,especial,0,
V000259,MESA-032,PUESTO-007,ZONA-07,MUN-02,CIRC-02,nacional,0,
V000260,MESA-013,PUESTO-013,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000261,MESA-001,PUESTO-001,ZONA-01,MUN-01,CIRC-01,especial,0,
V000262,MESA-034,PUESTO-009,ZONA-09,MUN-04,CIRC-04,nacional,0,
V000263,MESA-062,PUESTO-012,ZONA-02,MUN-02,CIRC-02,nacional,0,
V000264,MESA-079,PUESTO-004,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000265,MESA-078,PUESTO-003,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000266,MESA-071,PUESTO-021,ZONA-01,MUN-01,CIRC-01,especial,0,
V000267,MESA-031,PUESTO-006,ZONA-06,MUN-01,CIRC-01,especial,0,
V000268,MESA-064,PUESTO-014,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000269,MESA-025,PUESTO-025,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000270,MESA-038,PUESTO-013,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000271,MESA-014,PUESTO-014,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000272,MESA-008,PUESTO-008,ZONA-08,MUN-03,CIRC-03,municipal,0,
V000273,MESA-007,PUESTO-007,ZONA-07,MUN-02,CIRC-04,nacional,0,inconsistencia_simulada_mesa
V000274,MESA-002,PUESTO-002,ZONA-02,MUN-02,CIRC-02,especial,0,
V000275,MESA-078,PUESTO-003,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000276,MESA-056,PUESTO-006,ZONA-06,MUN-01,CIRC-01,especial,0,
V000277,MESA-074,PUESTO-024,ZONA-04,MUN-04,CIRC-01,especial,0,inconsistencia_simulada_mesa
V000278,MESA-022,PUESTO-022,ZONA-02,MUN-02,CIRC-02,nacional,0,
V000279,MESA-035,PUESTO-010,ZONA-10,MUN-05,CIRC-05,municipal,0,
V000280,MESA-016,PUESTO-016,ZONA-06,MUN-01,CIRC-01,especial,0,
V000281,MESA-050,PUESTO-025,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000282,MESA-043,PUESTO-018,ZONA-08,MUN-03,CIRC-03,municipal,0,
V000283,MESA-017,PUESTO-017,ZONA-07,MUN-02,CIRC-02,nacional,0,
V000284,MESA-080,PUESTO-005,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000285,MESA-058,PUESTO-008,ZONA-08,MUN-03,CIRC-03,municipal,0,
V000286,MESA-002,PUESTO-002,ZONA-02,MUN-02,CIRC-02,nacional,0,
V000287,MESA-004,PUESTO-004,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000288,MESA-039,PUESTO-014,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000289,MESA-006,PUESTO-006,ZONA-06,MUN-01,CIRC-01,especial,0,
V000290,MESA-069,PUESTO-019,ZONA-09,MUN-04,CIRC-04,nacional,0,
V000291,MESA-069,PUESTO-019,ZONA-09,MUN-04,CIRC-04,nacional,0,
V000292,MESA-020,PUESTO-020,ZONA-10,MUN-05,CIRC-05,municipal,0,
V000293,MESA-064,PUESTO-014,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000294,MESA-016,PUESTO-016,ZONA-06,MUN-01,CIRC-01,especial,0,
V000295,MESA-051,PUESTO-001,ZONA-01,MUN-01,CIRC-01,especial,0,
V000296,MESA-037,PUESTO-012,ZONA-02,MUN-02,CIRC-02,nacional,0,
V000297,MESA-073,PUESTO-023,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000298,MESA-069,PUESTO-019,ZONA-09,MUN-04,CIRC-04,nacional,0,
V000299,MESA-042,PUESTO-017,ZONA-07,MUN-02,CIRC-02,nacional,0,
V000300,MESA-057,PUESTO-007,ZONA-07,MUN-02,CIRC-02,nacional,0,
V000301,MESA-066,PUESTO-016,ZONA-06,MUN-01,CIRC-01,especial,0,
V000302,MESA-009,PUESTO-009,ZONA-09,MUN-04,CIRC-04,nacional,0,
V000303,MESA-064,PUESTO-014,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000304,MESA-022,PUESTO-022,ZONA-02,MUN-02,CIRC-02,nacional,0,
V000305,MESA-034,PUESTO-009,ZONA-09,MUN-04,CIRC-04,nacional,0,
