ballot_id,mesa_id,voter_id,marca_simulada,clasificacion_objetiva,clasificacion_jurado,clasificacion_auditoria,usuario_clasificador
BAL-0000062,MESA-009,V001406,candidato_B,valido,valido,valido,USR-0032
BAL-0000063,MESA-031,V002346,candidato_B,valido,valido,valido,USR-0033
BAL-0000064,MESA-034,V002300,candidato_B,valido,valido,valido,USR-0035
BAL-0000065,MESA-002,V004454,candidato_A,valido,valido,valido,USR-0035
BAL-0000066,MESA-051,V004099,blanco,blanco,nulo,blanco,USR-0034
BAL-0000067,MESA-002,V002154,candidato_B,valido,valido,valido,USR-0031
BAL-0000068,MESA-042,V002686,blanco,blanco,blanco,blanco,USR-0032
BAL-0000069,MESA-053,V000824,candidato_B,valido,valido,valido,USR-0035
BAL-0000070,MESA-043,V001626,candidato_A,valido,valido,valido,USR-0032
BAL-0000071,MESA-035,V000698,candidato_A,valido,valido,valido,USR-0029
BAL-0000072,MESA-074,V003982,candidato_B,valido,valido,valido,USR-0029
BAL-0000073,MESA-056,V001296,candidato_A,valido,valido,valido,USR-0034
BAL-0000074,MESA-019,V003008,candidato_A,valido,valido,valido,USR-0033
BAL-0000075,MESA-072,V001162,candidato_B,valido,valido,valido,USR-0028
BAL-0000076,MESA-018,V004280,candidato_A,valido,valido,valido,USR-0031
BAL-0000077,MESA-029,V004782,candidato_C,valido,valido,valido,USR-0028
BAL-0000078,MESA-004,V003831,sin_marca,invalido,invalido,invalido,USR-0033
BAL-0000079,MESA-031,V003608,candidato_B,valido,valido,valido,USR-0033
BAL-0000080,MESA-048,V000232,candidato_A,valido,valido,valido,USR-0032
BAL-0000081,MESA-068,V000881,candidato_C,valido,valido,valido,USR-0029
BAL-0000082,MESA-043,V003467,multiple_marca,nulo,nulo,nulo,USR-0032
BAL-0000083,MESA-042,V002889,candidato_C,valido,valido,valido,USR-0028
BAL-0000084,MESA-003,V002777,candidato_B,valido,valido,valido,USR-0028
BAL-0000085,MESA-066,V001090,candidato_B,valido,valido,valido,USR-0035
BAL-0000086,MESA-031,V002701,candidato_B,valido,valido,valido,USR-0032
BAL-0000087,MESA-014,V004116,candidato_B,valido,valido,valido,USR-0028
BAL-0000088,MESA-060,V004215,candidato_A,valido,valido,valido,USR-0029
BAL-0000089,MESA-045,V003406,candidato_B,valido,valido,valido,USR-0029
BAL-0000090,MESA-071,V002586,candidato_A,valido,valido,valido,USR-0028
BAL-0000091,MESA-020,V002742,candidato_B,valido,valido,valido,USR-0029
BAL-0000092,MESA-073,V001740,candidato_A,valido,valido,valido,USR-0028
BAL-0000093,MESA-067,V003335,candidato_C,valido,valido,valido,USR-0029
BAL-0000094,MESA-031,V001301,candidato_A,valido,valido,valido,USR-0029
BAL-0000095,MESA-063,V004596,candidato_A,valido,valido,valido,USR-0035
BAL-0000096,MESA-056,V002471,candidato_B,valido,valido,valido,USR-0031
BAL-0000097,MESA-026,V003537,candidato_A,valido,valido,valido,USR-0030
BAL-0000098,MESA-030,V004399,candidato_A,valido,valido,valido,USR-0028
BAL-0000099,MESA-064,V004419,candidato_B,valido,valido,valido,USR-0032
BAL-0000100,MESA-006,V003690,candidato_A,valido,valido,valido,USR-0029
BAL-0000101,MESA-056,V002353,multiple_marca,nulo,nulo,nulo,USR-0029
BAL-0000102,MESA-030,V000387,candidato_A,valido,valido,valido,USR-0028
BAL-0000103,MESA-029,V003562,candidato_A,valido,valido,valido,USR-0033
BAL-0000104,MESA-066,V002629,candidato_B,valido,valido,valido,USR-0035
BAL-0000105,MESA-032,V003522,candidato_B,valido,invalido,valido,USR-0030
BAL-0000106,MESA-046,V001912,candidato_B,valido,valido,valido,USR-0028
BAL-0000107,MESA-022,V001186,candidato_C,valido,valido,valido,USR-0030
BAL-0000108,MESA-006,V002812,candidato_B,valido,valido,valido,USR-0031
BAL-0000109,MESA-038,V000758,candidato_A,valido,valido,valido,USR-0034
BAL-0000110,MESA-023,V000955,candidato_A,valido,valido,valido,USR-0030
BAL-0000111,MESA-016,V000097,candidato_C,valido,valido,valido,USR-0034
BAL-0000112,MESA-012,V002326,candidato_C,valido,valido,valido,USR-0028
BAL-0000113,MESA-023,V001188,candidato_A,valido,valido,valido,USR-0031
BAL-0000114,MESA-065,V001391,candidato_B,valido,valido,valido,USR-0035
BAL-0000115,MESA-008,V002566,candidato_A,valido,valido,valido,USR-0034
BAL-0000116,MESA-015,V000249,candidato_A,valido,valido,valido,USR-0035
BAL-0000117,MESA-077,V002992,candidato_C,valido,valido,valido,USR-0034
BAL-0000118,MESA-072,V002507,multiple_marca,nulo,nulo,nulo,USR-0032
BAL-0000119,MESA-073,V003846,candidato_B,valido,valido,valido,USR-0032
BAL-0000120,MESA-034,V004527,candidato_A,valido,valido,valido,USR-0031
BAL-0000121,MESA-071,V004169,candidato_A,valido,valido,valido,USR-0028
BAL-0000122,MESA-056,V000986,candidato_A,valido,valido,valido,USR-0029
BAL-0000123,MESA-072,V000166,candidato_B,valido,valido,valido,USR-0028
BAL-0000124,MESA-078,V001879,candidato_B,valido,valido,valido,USR-0032
BAL-0000125,MESA-010,V002314,candidato_B,valido,valido,valido,USR-0029
BAL-0000126,MESA-002,V002608,marca_ambigua,invalido,invalido,invalido,USR-0034
BAL-0000127,MESA-006,V000025,candidato_C,valido,valido,valido,USR-0032
BAL-0000128,MESA-036,V002690,candidato_B,valido,valido,valido,USR-0031
BAL-0000129,MESA-022,V001948,candidato_A,valido,valido,valido,USR-0033
BAL-0000130,MESA-079,V001746,candidato_A,valido,valido,valido,USR-0032
BAL-0000131,MESA-056,V000505,candidato_C,valido,valido,valido,USR-0032
BAL-0000132,MESA-070,V003509,candidato_A,valido,valido,valido,USR-0034
BAL-0000133,MESA-004,V003494,candidato_A,valido,valido,valido,USR-0029
BAL-0000134,MESA-045,V003638,candidato_B,valido,valido,valido,USR-0034
BAL-0000135,MESA-054,V002080,candidato_A,valido,valido,valido,USR-0034
BAL-0000136,MESA-013,V001689,candidato_B,valido,valido,valido,USR-0035
BAL-0000137,MESA-050,V003580,candidato_B,valido,valido,valido,USR-0034
BAL-0000138,MESA-048,V001853,blanco,blanco,blanco,blanco,USR-0032
BAL-0000139,MESA-078,V004076,candidato_A,valido,valido,valido,USR-0035
BAL-0000140,MESA-067,V001839,candidato_B,valido,valido,valido,USR-0034
BAL-0000141,MESA-013,V001347,candidato_B,valido,valido,valido,USR-0029
BAL-0000142,MESA-017,V000999,candidato_C,valido,valido,valido,USR-0028
BAL-0000143,MESA-053,V003392,candidato_C,valido,valido,valido,USR-0034
BAL-0000144,MESA-039,V002687,multiple_marca,nulo,nulo,nulo,USR-0032
BAL-0000145,MESA-076,V000836,candidato_A,valido,valido,valido,USR-0028
BAL-0000146,MESA-073,V002010,candidato_B,valido,valido,valido,USR-0033
BAL-0000147,MESA-068,V000987,candidato_C,valido,valido,valido,USR-0028
BAL-0000148,MESA-028,V001140,candidato_B,valido,valido,valido,USR-0032
BAL-0000149,MESA-058,V001488,candidato_B,valido,valido,valido,USR-0032
BAL-0000150,MESA-038,V004134,marca_ambigua,nulo,valido,nulo,USR-0030
BAL-0000151,MESA-030,V000980,candidato_A,valido,valido,valido,USR-0028
BAL-0000152,MESA-047,V004950,candidato_A,valido,valido,valido,USR-0029
BAL-0000153,MESA-033,V003834,candidato_B,valido,valido,valido,USR-0028
BAL-0000154,MESA-030,V003124,candidato_C,valido,valido,valido,USR-0032
BAL-0000155,MESA-026,V001932,candidato_A,valido,valido,valido,USR-0032
BAL-0000156,MESA-009,V003075,marca_ambigua,invalido,invalido,invalido,USR-0030
BAL-0000157,MESA-028,V003113,candidato_A,valido,valido,valido,USR-0032
BAL-0000158,MESA-080,V000921,candidato_A,valido,valido,valido,USR-0031
BAL-0000159,MESA-044,V000886,candidato_B,valido,valido,valido,USR-0029
BAL-0000160,MESA-049,V002798,candidato_B,valido,valido,valido,USR-0031
BAL-0000161,MESA-047,V000596,candidato_A,valido,invalido,valido,USR-0030
BAL-0000162,MESA-034,V001827,candidato_A,valido,valido,valido,USR-0033
BAL-0000163,MESA-064,V003905,candidato_A,valido,valido,valido,USR-0032
BAL-0000164,MESA-037,V003515,candidato_C,valido,invalido,valido,USR-0030
BAL-0000165,MESA-031,V002692,candidato_A,valido,valido,valido,USR-0032
BAL-0000166,MESA-058,V003350,candidato_C,valido,valido,valido,USR-0029
BAL-0000167,MESA-049,V003192,blanco,blanco,blanco,blanco,USR-0034
BAL-0000168,MESA-005,V001420,blanco,blanco,blanco,blanco,USR-0032
BAL-0000169,MESA-070,V004879,candidato_B,valido,valido,valido,USR-0035
BAL-0000170,MESA-065,V002667,candidato_A,valido,valido,valido,USR-0028
BAL-0000171,MESA-028,V002104,candidato_A,valido,valido,valido,USR-0034
BAL-0000172,MESA-076,V003318,candidato_C,valido,valido,valido,USR-0031
BAL-0000173,MESA-079,V002171,candidato_B,valido,valido,valido,USR-0028
BAL-0000174,MESA-003,V002707,candidato_B,valido,valido,valido,USR-0029
BAL-0000175,MESA-064,V002452,candidato_C,valido,valido,valido,USR-0035
BAL-0000176,MESA-050,V004378,candidato_A,valido,valido,valido,USR-0034
BAL-0000177,MESA-072,V002140,candidato_A,valido,valido,valido,USR-0030
BAL-0000178,MESA-032,V001561,candidato_B,valido,valido,valido,USR-0030
BAL-0000179,MESA-024,V004490,candidato_B,valido,valido,valido,USR-0035
BAL-0000180,MESA-071,V003524,candidato_B,valido,valido,valido,USR-0035
BAL-0000181,MESA-016,V001760,candidato_B,valido,valido,valido,USR-0032
BAL-0000182,MESA-011,V004330,candidato_A,valido,valido,valido,USR-0034
BAL-0000183,MESA-061,V000880,candidato_A,valido,valido,valido,USR-0028
BAL-0000184,MESA-075,V003862,candidato_A,valido,valido,valido,USR-0030
BAL-0000185,MESA-039,V000082,candidato_B,valido,valido,valido,USR-0028
BAL-0000186,MESA-050,V002034,candidato_B,valido,valido,valido,USR-0028
BAL-0000187,MESA-039,V002423,candidato_B,valido,valido,valido,USR-0030
BAL-0000188,MESA-062,V004982,candidato_B,valido,valido,valido,USR-0029
BAL-0000189,MESA-046,V002320,sin_marca,invalido,valido,invalido,USR-0029
BAL-0000190,MESA-058,V003740,candidato_B,valido,valido,valido,USR-0033
BAL-0000191,MESA-035,V003370,candidato_B,valido,valido,valido,USR-0034
BAL-0000192,MESA-029,V002157,candidato_A,valido,valido,valido,USR-0028
BAL-0000193,MESA-035,V000948,candidato_A,valido,valido,valido,USR-0031
BAL-0000194,MESA-059,V004627,candidato_B,valido,valido,valido,USR-0030
BAL-0000195,MESA-029,V000547,candidato_B,valido,valido,valido,USR-0034
BAL-0000196,MESA-044,V003321,candidato_B,valido,valido,valido,USR-0035
BAL-0000197,MESA-040,V002030,candidato_A,valido,valido,valido,USR-0034
BAL-0000198,MESA-003,V002627,candidato_A,valido,valido,valido,USR-0033
BAL-0000199,MESA-031,V003364,candidato_C,valido,valido,valido,USR-0033
BAL-0000200,MESA-030,V004442,candidato_C,valido,valido,valido,USR-0034
BAL-0000201,MESA-008,V002412,candidato_B,valido,valido,valido,USR-0029
BAL-0000202,MESA-054,V001533,candidato_A,valido,valido,valido,USR-0034
BAL-0000203,MESA-018,V004140,candidato_B,valido,valido,valido,USR-0032
BAL-0000204,MESA-005,V000101,candidato_C,valido,valido,valido,USR-0034
BAL-0000205,MESA-007,V000843,candidato_A,valido,valido,valido,USR-0031
BAL-0000206,MESA-010,V002891,candidato_B,valido,valido,valido,USR-0035
BAL-0000207,MESA-070,V001019,candidato_B,valido,valido,valido,USR-0029
BAL-0000208,MESA-078,V002242,candidato_A,valido,valido,valido,USR-0028
BAL-0000209,MESA-016,V000995,candidato_B,valido,valido,valido,USR-0028
BAL-0000210,MESA-041,V004956,candidato_A,valido,valido,valido,USR-0029
BAL-0000211,MESA-025,V000601,candidato_B,valido,valido,valido,USR-0031
BAL-0000212,MESA-049,V003418,candidato_A,valido,valido,valido,USR-0031
BAL-0000213,MESA-011,V001537,candidato_A,valido,valido,valido,USR-0035
BAL-0000214,MESA-031,V002437,candidato_A,valido,valido,valido,USR-0035
BAL-0000215,MESA-031,V002463,candidato_A,valido,valido,valido,USR-0029
BAL-0000216,MESA-063,V004698,candidato_B,valido,valido,valido,USR-0028
BAL-0000217,MESA-074,V001495,candidato_A,valido,valido,valido,USR-0033
BAL-0000218,MESA-002,V001919,candidato_A,valido,valido,valido,USR-0033
BAL-0000219,MESA-045,V004310,blanco,blanco,nulo,blanco,USR-0028
BAL-0000220,MESA-012,V004669,candidato_B,valido,valido,valido,USR-0035
BAL-0000221,MESA-037,V002522,candidato_A,valido,valido,valido,USR-0028
BAL-0000222,MESA-054,V000892,candidato_B,valido,valido,valido,USR-0032
BAL-0000223,MESA-037,V003430,candidato_A,valido,valido,valido,USR-0031
BAL-0000224,MESA-064,V000680,candidato_C,valido,valido,valido,USR-0028
BAL-0000225,MESA-071,V003888,candidato_A,valido,valido,valido,USR-0034
BAL-0000226,MESA-079,V000264,candidato_C,valido,valido,valido,USR-0033
BAL-0000227,MESA-001,V004821,candidato_A,valido,valido,valido,USR-0028
BAL-0000228,MESA-078,V004779,candidato_A,valido,valido,valido,USR-0031
BAL-0000229,MESA-035,V001691,candidato_A,valido,valido,valido,USR-0028
BAL-0000230,MESA-030,V002585,candidato_B,valido,valido,valido,USR-0028
BAL-0000231,MESA-065,V003554,candidato_A,valido,valido,valido,USR-0029
BAL-0000232,MESA-014,V002919,candidato_A,valido,invalido,valido,USR-0030
BAL-0000233,MESA-071,V002543,candidato_B,valido,valido,valido,USR-0028
BAL-0000234,MESA-075,V004780,candidato_B,valido,valido,valido,USR-0028
BAL-0000235,MESA-071,V000905,candidato_C,valido,valido,valido,USR-0035
BAL-0000236,MESA-080,V001349,candidato_B,valido,valido,valido,USR-0031
BAL-0000237,MESA-041,V000383,candidato_B,valido,valido,valido,USR-0035
BAL-0000238,MESA-012,V001277,candidato_B,valido,valido,valido,USR-0033
BAL-0000239,MESA-003,V001418,candidato_A,valido,invalido,valido,USR-0030
BAL-0000240,MESA-061,V002900,candidato_B,valido,valido,valido,USR-0034
BAL-0000241,MESA-011,V001856,candidato_C,valido,valido,valido,USR-0029
BAL-0000242,MESA-008,V002969,candidato_A,valido,valido,valido,USR-0030
BAL-0000243,MESA-060,V000849,candidato_A,valido,valido,valido,USR-0033
BAL-0000244,MESA-037,V000228,candidato_B,valido,valido,valido,USR-0034
BAL-0000245,MESA-056,V001255,candidato_C,valido,valido,valido,USR-0033
BAL-0000246,MESA-078,V001803,candidato_C,valido,valido,valido,USR-0029
BAL-0000247,MESA-048,V001832,multiple_marca,nulo,nulo,nulo,USR-0033
BAL-0000248,MESA-007,V003818,candidato_A,valido,valido,valido,USR-0032
BAL-0000249,MESA-074,V002237,candidato_A,valido,valido,valido,USR-0033
BAL-0000250,MESA-056,V002857,candidato_C,valido,valido,valido,USR-0033
BAL-0000251,MESA-018,V004654,candidato_A,valido,valido,valido,USR-0029
BAL-0000252,MESA-012,V003826,candidato_B,valido,valido,valido,USR-0035
BAL-0000253,MESA-074,V003414,candidato_B,valido,valido,valido,USR-0031
BAL-0000254,MESA-049,V003142,candidato_A,valido,valido,valido,USR-0030
BAL-0000255,MESA-036,V003502,candidato_A,valido,valido,valido,USR-0029
BAL-0000256,MESA-064,V004696,candidato_A,valido,valido,valido,USR-0030
BAL-0000257,MESA-020,V000139,candidato_B,valido,valido,valido,USR-0028
BAL-0000258,MESA-003,V001716,candidato_B,valido,valido,valido,USR-0035
BAL-0000259,MESA-031,V004866,candidato_B,valido,valido,valido,USR-0031
BAL-0000260,MESA-049,V002519,candidato_A,valido,valido,valido,USR-0029
BAL-0000261,MESA-018,V000011,candidato_B,valido,valido,valido,USR-0032
BAL-0000262,MESA-007,V003954,candidato_A,valido,valido,valido,USR-0034
BAL-0000263,MESA-051,V000757,candidato_A,valido,valido,valido,USR-0033
BAL-0000264,MESA-072,V001765,candidato_C,valido,valido,valido,USR-0035
BAL-0000265,MESA-003,V000575,candidato_A,valido,valido,valido,USR-0033
BAL-0000266,MESA-052,V003799,candidato_A,valido,valido,valido,USR-0031
BAL-0000267,MESA-020,V001656,candidato_A,valido,valido,valido,USR-0032
BAL-0000268,MESA-056,V000583,candidato_C,valido,valido,valido,USR-0031
BAL-0000269,MESA-051,V003431,candidato_B,valido,valido,valido,USR-0030
BAL-0000270,MESA-043,V004006,candidato_B,valido,valido,valido,USR-0029
BAL-0000271,MESA-001,V002961,candidato_C,valido,valido,valido,USR-0029
BAL-0000272,MESA-046,V003607,candidato_B,valido,valido,valido,USR-0032
BAL-0000273,MESA-016,V003964,candidato_A,valido,valido,valido,USR-0035
BAL-0000274,MESA-004,V001644,candidato_C,valido,valido,valido,USR-0030
BAL-0000275,MESA-064,V001833,blanco,blanco,blanco,blanco,USR-0035
BAL-0000276,MESA-040,V004092,candidato_B,valido,valido,valido,USR-0028
BAL-0000277,MESA-048,V000674,candidato_A,valido,valido,valido,USR-0034
BAL-0000278,MESA-056,V001858,blanco,blanco,blanco,blanco,USR-0034
BAL-0000279,MESA-044,V000399,candidato_A,valido,valido,valido,USR-0035
BAL-0000280,MESA-048,V002813,candidato_A,valido,invalido,valido,USR-0034
BAL-0000281,MESA-074,V002022,candidato_B,valido,valido,valido,USR-0031
BAL-0000282,MESA-062,V002359,candidato_B,valido,valido,valido,USR-0032
BAL-0000283,MESA-019,V004648,candidato_C,valido,valido,valido,USR-0028
BAL-0000284,MESA-005,V001199,candidato_B,valido,valido,valido,USR-0034
BAL-0000285,MESA-068,V002554,candidato_A,valido,valido,valido,USR-0032
BAL-0000286,MESA-036,V001817,candidato_B,valido,valido,valido,USR-0032
BAL-0000287,MESA-027,V002040,candidato_A,valido,valido,valido,USR-0032
BAL-0000288,MESA-051,V004662,candidato_A,valido,invalido,valido,USR-0030
BAL-0000289,MESA-059,V001096,candidato_C,valido,valido,valido,USR-0029
BAL-0000290,MESA-016,V001960,candidato_A,valido,valido,valido,USR-0033
BAL-0000291,MESA-022,V002741,candidato_B,valido,valido,valido,USR-0031
BAL-0000292,MESA-011,V003680,candidato_C,valido,valido,valido,USR-0032
BAL-0000293,MESA-055,V001018,blanco,blanco,blanco,blanco,USR-0030
BAL-0000294,MESA-065,V003845,blanco,blanco,blanco,blanco,USR-0035
BAL-0000295,MESA-068,V001584,candidato_A,valido,valido,valido,USR-0033
BAL-0000296,MESA-051,V001216,candidato_A,valido,valido,valido,USR-0030
BAL-0000297,MESA-066,V004291,candidato_A,valido,valido,valido,USR-0033
BAL-0000298,MESA-046,V000593,candidato_A,valido,valido,valido,USR-0034
BAL-0000299,MESA-025,V004178,candidato_C,valido,valido,valido,USR-0033
BAL-0000300,MESA-006,V004868,candidato_C,valido,valido,valido,USR-0034
BAL-0000301,MESA-070,V002581,blanco,blanco,nulo,blanco,USR-0030
BAL-0000302,MESA-002,V003673,candidato_C,valido,valido,valido,USR-0034
BAL-0000303,MESA-051,V004964,candidato_C,valido,valido,valido,USR-0032
BAL-0000304,MESA-080,V002815,candidato_B,valido,valido,valido,USR-0034
BAL-0000305,MESA-009,V002848,candidato_C,valido,valido,valido,USR-0029
BAL-0000306,MESA-005,V001770,candidato_B,valido,valido,valido,USR-0028
BAL-0000307,MESA-059,V001532,candidato_B,valido,valido,valido,USR-0033
BAL-0000308,MESA-080,V000972,candidato_A,valido,valido,valido,USR-0034
BAL-0000309,MESA-002,V002705,candidato_B,valido,valido,valido,USR-0030
BAL-0000310,MESA-053,V000884,candidato_A,valido,valido,valido,USR-0029
BAL-0000311,MESA-021,V004727,candidato_C,valido,valido,valido,USR-0035
BAL-0000312,MESA-017,V000866,candidato_A,valido,valido,valido,USR-0028
BAL-0000313,MESA-025,V004589,candidato_B,valido,valido,valido,USR-0032
BAL-0000314,MESA-074,V000417,candidato_B,valido,valido,valido,USR-0035
BAL-0000315,MESA-015,V002722,candidato_C,valido,invalido,valido,USR-0030
BAL-0000316,MESA-078,V000934,blanco,blanco,nulo,blanco,USR-0030
BAL-0000317,MESA-009,V002307,candidato_A,valido,invalido,valido,USR-0030
BAL-0000318,MESA-017,V003875,candidato_B,valido,valido,valido,USR-0030
BAL-0000319,MESA-078,V002639,blanco,blanco,blanco,blanco,USR-0032
BAL-0000320,MESA-059,V001248,candidato_A,valido,valido,valido,USR-0031
BAL-0000321,MESA-056,V003339,sin_marca,invalido,invalido,invalido,USR-0029
BAL-0000322,MESA-058,V001506,candidato_B,valido,valido,valido,USR-0029
BAL-0000323,MESA-064,V001403,candidato_B,valido,valido,valido,USR-0031
BAL-0000324,MESA-077,V004087,candidato_B,valido,valido,valido,USR-0030
BAL-0000325,MESA-078,V003150,candidato_A,valido,valido,valido,USR-0032
BAL-0000326,MESA-033,V004355,candidato_A,valido,valido,valido,USR-0028
BAL-0000327,MESA-035,V000157,candidato_C,valido,valido,valido,USR-0029
BAL-0000328,MESA-062,V004733,candidato_A,valido,valido,valido,USR-0035
BAL-0000329,MESA-073,V002842,candidato_B,valido,valido,valido,USR-0035
BAL-0000330,MESA-006,V002505,candidato_B,valido,valido,valido,USR-0034
BAL-0000331,MESA-049,V004369,candidato_A,valido,valido,valido,USR-0028
BAL-0000332,MESA-026,V004655,blanco,blanco,blanco,blanco,USR-0028
BAL-0000333,MESA-049,V001979,candidato_A,valido,valido,valido,USR-0035
BAL-0000334,MESA-080,V000150,candidato_C,valido,valido,valido,USR-0033
BAL-0000335,MESA-060,V004952,blanco,blanco,blanco,blanco,USR-0035
BAL-0000336,MESA-021,V002521,candidato_A,valido,valido,valido,USR-0035
BAL-0000337,MESA-075,V002124,candidato_A,valido,valido,valido,USR-0031
BAL-0000338,MESA-068,V004610,candidato_A,valido,valido,valido,USR-0034
BAL-0000339,MESA-049,V002329,candidato_B,valido,valido,valido,USR-0034
BAL-0000340,MESA-027,V003629,candidato_B,valido,valido,valido,USR-0030
BAL-0000341,MESA-055,V002283,candidato_C,valido,valido,valido,USR-0031
BAL-0000342,MESA-065,V000869,candidato_B,valido,valido,valido,USR-0034
BAL-0000343,MESA-007,V004923,marca_ambigua,invalido,invalido,invalido,USR-0034
BAL-0000344,MESA-028,V002915,candidato_B,valido,valido,valido,USR-0030
BAL-0000345,MESA-021,V002143,candidato_A,valido,valido,valido,USR-0033
BAL-0000346,MESA-062,V000710,candidato_B,valido,valido,valido,USR-0028
BAL-0000347,MESA-060,V000322,candidato_A,valido,valido,valido,USR-0034
BAL-0000348,MESA-019,V002240,candidato_A,valido,valido,valido,USR-0030
BAL-0000349,MESA-055,V001086,blanco,blanco,blanco,blanco,USR-0029
BAL-0000350,MESA-076,V003928,candidato_C,valido,valido,valido,USR-0029
BAL-0000351,MESA-031,V001668,candidato_C,valido,valido,valido,USR-0035
BAL-0000352,MESA-043,V002654,candidato_C,valido,valido,valido,USR-0031
BAL-0000353,MESA-048,V001340,candidato_B,valido,valido,valido,USR-0033
