mesa_id,municipio,zona_id,circunscripcion,electores_habilitados,sufragantes_registrados,votos_candidato_A,votos_candidato_B,votos_candidato_C,votos_blancos,votos_nulos,votos_invalidos,total_calculado,total_reportado,participacion_pct,ganador,concentracion_ganador_pct,margen_victoria_pct
MESA-057,MUN-02,ZONA-07,CIRC-02,67,42,17,12,10,2,1,1,43,43,0.6269,candidato_A,0.3953,0.1163
MESA-058,MUN-05,ZONA-05,CIRC-05,72,53,20,20,8,1,1,5,55,55,0.7361,candidato_A,0.3636,0.0
MESA-059,MUN-04,ZONA-09,CIRC-04,57,35,15,12,7,1,0,3,38,38,0.614,candidato_A,0.3947,0.0789
MESA-060,MUN-05,ZONA-10,CIRC-05,54,35,12,13,5,2,2,3,37,37,0.6481,candidato_B,0.3514,0.027
MESA-061,MUN-01,ZONA-01,CIRC-01,68,46,18,18,5,2,0,3,46,46,0.6765,candidato_A,0.3913,0.0
MESA-062,MUN-02,ZONA-02,CIRC-02,65,47,16,19,6,4,1,3,49,49,0.7231,candidato_B,0.3878,0.0612
MESA-063,MUN-03,ZONA-03,CIRC-03,60,48,22,15,9,1,0,2,49,49,0.8,candidato_A,0.449,0.1429
MESA-064,MUN-04,ZONA-04,CIRC-04,61,42,20,14,6,2,0,2,44,44,0.6885,candidato_A,0.4545,0.1364
MESA-065,MUN-05,ZONA-05,CIRC-05,60,36,14,15,6,1,0,2,38,38,0.6,candidato_B,0.3947,0.0263
MESA-066,MUN-01,ZONA-06,CIRC-01,59,37,14,15,3,2,2,4,40,40,0.6271,candidato_B,0.375,0.025
MESA-067,MUN-02,ZONA-07,CIRC-02,52,34,8,14,8,3,0,3,36,36,0.6538,candidato_B,0.3889,0.1667
MESA-068,MUN-03,ZONA-08,CIRC-03,64,39,19,13,6,1,0,2,41,41,0.6094,candidato_A,0.4634,0.1463
MESA-069,MUN-04,ZONA-09,CIRC-04,69,51,18,15,11,5,1,3,53,53,0.7391,candidato_A,0.3396,0.0566
MESA-070,MUN-05,ZONA-10,CIRC-05,69,42,20,13,5,2,1,3,44,44,0.6087,candidato_A,0.4545,0.1591
MESA-071,MUN-01,ZONA-01,CIRC-01,76,62,25,25,10,0,1,4,65,65,0.8158,candidato_A,0.3846,0.0
MESA-072,MUN-02,ZONA-02,CIRC-02,63,45,18,14,7,2,2,3,46,46,0.7143,candidato_A,0.3913,0.087
MESA-073,MUN-03,ZONA-03,CIRC-03,59,43,10,23,6,2,0,4,45,45,0.7288,candidato_B,0.5111,0.2889
MESA-074,MUN-04,ZONA-04,CIRC-04,60,45,22,13,8,1,1,1,46,46,0.75,candidato_A,0.4783,0.1957
MESA-075,MUN-05,ZONA-05,CIRC-05,59,43,18,20,3,1,1,2,45,45,0.7288,candidato_B,0.4444,0.0444
MESA-076,MUN-01,ZONA-01,CIRC-01,62,47,15,16,10,2,2,2,47,47,0.7581,candidato_B,0.3404,0.0213
MESA-077,MUN-02,ZONA-02,CIRC-02,82,60,17,23,13,1,3,1,58,58,0.7317,candidato_B,0.3966,0.1034
MESA-078,MUN-03,ZONA-03,CIRC-03,58,44,16,10,10,2,2,2,42,42,0.7586,candidato_A,0.381,0.1429
MESA-079,MUN-04,ZONA-04,CIRC-04,64,32,13,11,4,2,2,1,33,33,0.5,candidato_A,0.3939,0.0606
MESA-080,MUN-05,ZONA-05,CIRC-05,86,64,24,25,12,1,2,3,67,67,0.7442,candidato_B,0.3731,0.0149
